din_instante;id_subsistema_origem;nom_subsistema_origem;id_subsistema_destino;nom_subsistema_destino;val_intercambiomwmed
2022-01-01 00:00:00;N;NORTE;NE;NORDESTE;1559.685
2022-01-01 00:00:00;N;NORTE;SE;SUDESTE;6183.747
2022-01-01 00:00:00;NE;NORDESTE;SE;SUDESTE;61.329
2022-01-01 00:00:00;SE;SUDESTE;S;SUL;6600.121
2022-01-01 01:00:00;N;NORTE;NE;NORDESTE;1671.589
2022-01-01 01:00:00;N;NORTE;SE;SUDESTE;5940.202
2022-01-01 01:00:00;NE;NORDESTE;SE;SUDESTE;-204.27
2022-01-01 01:00:00;SE;SUDESTE;S;SUL;6309.402
2022-01-01 02:00:00;N;NORTE;NE;NORDESTE;1511.885
2022-01-01 02:00:00;N;NORTE;SE;SUDESTE;5886.613
2022-01-01 02:00:00;NE;NORDESTE;SE;SUDESTE;-215.645
2022-01-01 02:00:00;SE;SUDESTE;S;SUL;6144.818
2022-01-01 03:00:00;N;NORTE;NE;NORDESTE;1514.047
2022-01-01 03:00:00;N;NORTE;SE;SUDESTE;5871.348
2022-01-01 03:00:00;NE;NORDESTE;SE;SUDESTE;-241.514
2022-01-01 03:00:00;SE;SUDESTE;S;SUL;6180.318
2022-01-01 04:00:00;N;NORTE;NE;NORDESTE;1492.108
2022-01-01 04:00:00;N;NORTE;SE;SUDESTE;5947.875
2022-01-01 04:00:00;NE;NORDESTE;SE;SUDESTE;-176.913
2022-01-01 04:00:00;SE;SUDESTE;S;SUL;6553.091
2022-01-01 05:00:00;N;NORTE;NE;NORDESTE;851.496
2022-01-01 05:00:00;N;NORTE;SE;SUDESTE;5150.30599999
2022-01-01 05:00:00;NE;NORDESTE;SE;SUDESTE;36.473
2022-01-01 05:00:00;SE;SUDESTE;S;SUL;6395.134
2022-01-01 06:00:00;N;NORTE;NE;NORDESTE;790.803
2022-01-01 06:00:00;N;NORTE;SE;SUDESTE;3828.858
2022-01-01 06:00:00;NE;NORDESTE;SE;SUDESTE;258.16199999
2022-01-01 06:00:00;SE;SUDESTE;S;SUL;6093.028
2022-01-01 07:00:00;N;NORTE;NE;NORDESTE;-267.603
2022-01-01 07:00:00;N;NORTE;SE;SUDESTE;3829.471
2022-01-01 07:00:00;NE;NORDESTE;SE;SUDESTE;979.16
2022-01-01 07:00:00;SE;SUDESTE;S;SUL;6115.971
2022-01-01 08:00:00;N;NORTE;NE;NORDESTE;-925.177
2022-01-01 08:00:00;N;NORTE;SE;SUDESTE;3997.722
2022-01-01 08:00:00;NE;NORDESTE;SE;SUDESTE;1686.258
2022-01-01 08:00:00;SE;SUDESTE;S;SUL;6065.352
2022-01-01 09:00:00;N;NORTE;NE;NORDESTE;-1069.83
2022-01-01 09:00:00;N;NORTE;SE;SUDESTE;4240.486
2022-01-01 09:00:00;NE;NORDESTE;SE;SUDESTE;1937.921
2022-01-01 09:00:00;SE;SUDESTE;S;SUL;6077.129
2022-01-01 10:00:00;N;NORTE;NE;NORDESTE;-1104.335
2022-01-01 10:00:00;N;NORTE;SE;SUDESTE;4916.204
2022-01-01 10:00:00;NE;NORDESTE;SE;SUDESTE;2065.694
